id,rating,tags
131840,1400,combinatorics|data structures|geometry|math|matrices|sortings
131775,3100,dp|greedy
131772,2500,data structures|dfs and similar|greedy
131769,1900,constructive algorithms|dp|math|number theory
131766,1300,constructive algorithms|greedy
131763,1200,brute force|constructive algorithms|graphs|implementation
131760,800,implementation|math
131695,2900,constructive algorithms|greedy|implementation
131692,2200,brute force|dp|math|number theory
131689,2000,constructive algorithms|dfs and similar|dp|implementation|trees
131686,1500,bitmasks|brute force|constructive algorithms|dp|math
131683,800,brute force|constructive algorithms|greedy|sortings|two pointers
131680,800,math
131535,2900,combinatorics|fft|math|number theory
131532,1900,brute force|combinatorics|data structures|implementation|math
131529,1700,data structures|implementation|math
131526,1400,brute force|dp|greedy|implementation
131523,800,brute force|constructive algorithms|implementation
131520,800,implementation
131363,900,greedy
131360,800,geometry
131295,3500,geometry
131292,3300,combinatorics|divide and conquer|fft|math
131289,2700,bitmasks|brute force|combinatorics|greedy|hashing|math|two pointers
131286,2200,binary search|brute force|data structures|dsu|greedy|sortings
131283,2000,constructive algorithms|implementation|sortings
131280,1200,brute force|greedy|sortings
131055,3200,brute force|data structures|greedy|two pointers
131052,2400,brute force|data structures|implementation
131049,2000,constructive algorithms|data structures|greedy|implementation
131046,1300,data structures|dsu|graphs|math
131043,1100,data structures|math|sortings
131040,800,constructive algorithms|greedy|math
130981,3500,data structures|greedy|math|sortings
130978,3000,constructive algorithms|greedy|math
130975,2500,constructive algorithms|dfs and similar|dp|greedy|trees
130972,2100,binary search|brute force|implementation
130969,1800,dp|greedy|math
130966,1200,greedy|implementation
130963,1100,brute force|dp|greedy|math
130960,800,brute force|sortings
130815,2800,data structures|greedy
130812,2200,2-sat|constructive algorithms|dfs and similar|dsu|graphs|greedy|sortings
130809,1800,bitmasks|dp|math|matrices|number theory|strings
130806,1200,constructive algorithms|greedy
130803,800,greedy
130800,800,bitmasks|greedy
130735,2700,brute force|data structures|hashing|implementation|math
130732,2400,constructive algorithms|data structures|dfs and similar|graph matchings|graphs
130729,2000,constructive algorithms|interactive|math
130726,1000,constructive algorithms
130723,1400,bitmasks|math
130720,800,greedy|strings
130655,2800,data structures|divide and conquer|interactive|trees
130652,2400,binary search|data structures|dfs and similar|dsu|graphs|greedy|math|sortings|trees
130649,1600,dp|greedy
130646,1100,brute force|math
130643,800,greedy
130640,800,brute force
130574,2700,binary search|dfs and similar|shortest paths|trees
130573,2400,binary search|data structures|dfs and similar|graphs|shortest paths|trees
130569,2000,binary search|data structures|greedy|math|number theory|two pointers
130566,1600,binary search|bitmasks|brute force|dp|math
130563,1000,bitmasks|constructive algorithms
130560,800,implementation
130483,1100,dp|greedy
130480,800,greedy
130415,3400,flows|graph matchings|graphs|number theory
130412,2900,combinatorics|math|number theory|probabilities
130409,2400,constructive algorithms|dp|greedy|number theory
130406,2200,dp|greedy|sortings|two pointers
130403,1800,binary search|constructive algorithms|data structures|greedy|two pointers
130400,1500,bitmasks|constructive algorithms
130323,800,greedy|math|number theory
130320,800,brute force|greedy|sortings
130255,3500,binary search|data structures|geometry|sortings
130252,3100,binary search|data structures|dsu|trees
130251,2400,combinatorics|dp|games|math
130250,2100,combinatorics|dp|games|math
130246,2300,constructive algorithms|greedy|implementation|interactive|math
130243,1700,greedy|strings
130240,1400,binary search|constructive algorithms|greedy|implementation|math|two pointers
130175,2700,geometry|graphs|greedy|implementation|shortest paths
130172,2200,data structures|dp|implementation|shortest paths|two pointers
130169,1900,brute force|dp|math|number theory
130166,1400,constructive algorithms|dfs and similar|number theory|trees
130163,1300,games|greedy|sortings
130160,800,constructive algorithms|implementation
130095,2800,combinatorics|dp|math|number theory|probabilities
130092,2400,dfs and similar|greedy|trees
130089,2100,binary search|brute force|greedy|math
130086,1700,binary search|data structures|dp|greedy|implementation|math|two pointers
130083,1100,greedy|strings
130080,800,constructive algorithms|sortings
130014,2800,binary search|data structures|dfs and similar|graphs|trees
130013,2500,brute force|data structures|dfs and similar|divide and conquer|dp|graphs|trees
130009,2300,bitmasks|data structures|implementation|math|sortings|trees
130006,1700,dp
130003,1100,brute force|greedy|sortings
130000,800,bitmasks|greedy|math
129938,1900,bitmasks|dfs and similar|dsu|graphs|greedy
129935,2000,binary search|constructive algorithms|interactive
129932,2000,brute force|constructive algorithms|dp|hashing|implementation|strings
129929,1400,binary search|greedy|sortings|strings
129926,1100,constructive algorithms|flows|graph matchings|greedy|math
129923,900,implementation|math
129920,800,math
129852,2500,data structures|dfs and similar|greedy|strings|trees
129849,2300,implementation|math|probabilities
129846,1600,binary search|greedy
129843,1100,brute force|dfs and similar|implementation|sortings
129840,800,brute force|implementation|math
129775,2900,constructive algorithms|hashing|math|number theory
129772,2200,bitmasks|brute force|greedy
129769,2000,combinatorics|math|two pointers
129766,1600,binary search|brute force|greedy|sortings
129763,1000,data structures|greedy|math|sortings
129760,800,geometry|math
129704,3500,data structures|hashing|string suffix structures
129701,3500,dfs and similar|graphs|shortest paths|trees
129698,3200,data structures|dp|math
129695,2700,data structures|greedy|implementation
129692,2300,binary search|data structures|dp|greedy|implementation|sortings
129689,2100,constructive algorithms|greedy|math
129686,1700,dfs and similar|interactive|math
129683,1500,data structures|greedy|implementation
129680,800,constructive algorithms
129618,2400,bitmasks|combinatorics|dp
129615,2800,dp|greedy
129612,1900,constructive algorithms|data structures|dsu|implementation
129609,2000,brute force|constructive algorithms|greedy
129606,1800,brute force|dp|greedy|implementation|math
129603,1000,geometry|greedy|math
129600,800,constructive algorithms|dsu|implementation
129541,2400,brute force|data structures|divide and conquer|two pointers
129538,2000,binary search|dfs and similar|dsu|greedy|sortings
129535,2000,brute force|constructive algorithms|greedy|math
129532,1700,constructive algorithms|data structures|dp|greedy|implementation|math|sortings
129529,1800,binary search|greedy|sortings
129526,1200,implementation
129523,800,implementation|math
129520,800,implementation|strings
129458,2200,data structures|dsu|greedy|sortings
129455,2000,bitmasks|constructive algorithms|dfs and similar|implementation|math|strings
129452,1700,constructive algorithms|math
129449,1300,dp|greedy|math
129446,1100,math
129443,800,implementation
129440,800,math|sortings
129372,2700,dfs and similar|dp|games|graphs|implementation|math|number theory|shortest paths|trees
129371,2400,constructive algorithms|implementation|interactive|math
129370,1800,constructive algorithms|implementation|interactive
129366,1300,binary search|greedy|math|sortings
129363,900,brute force|constructive algorithms|math|number theory
129360,800,constructive algorithms|greedy|sortings|strings
129301,3000,bitmasks|combinatorics|data structures|divide and conquer|dp|math
129298,3500,dfs and similar|dp|graphs
129295,2900,brute force|graphs|math|matrices
129292,2200,brute force|data structures|greedy|strings
129289,2000,dp|greedy|math
